"stage","stage09","stage15","ch_high","nburn","strata","stat","cc_year","metric","value"
"recovering","early","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",2.47398768097282
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-2.40364738180993
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",1.17971968075078
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.12132584116147
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.40724592675172
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-2.29735798925055
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.92740308184407
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-2.25977335894726
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.706107616002843
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.78356937631404
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.17308919611847
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.40906566987264
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",2.07806695749206
"recovering","early","early",0,2,"Understory","mnl",2015,"cc_01_mnl",-2.89602677860522
"recovering","early","early",0,2,"Understory","sdl",2015,"cc_01_sdl",1.11454172201658
"recovering","early","early",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-3.77459275215116
"recovering","early","early",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",1.69814231506151
"recovering","early","early",0,2,"Canopy","mnl",2015,"cc_08_mnl",-4.67812586073073
"recovering","early","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",2.19336362939896
"recovering","early","early",0,2,"Understory","mnl",2015,"cc_01_mnl",-2.5657909149409
"recovering","early","early",0,2,"Understory","sdl",2015,"cc_01_sdl",1.35384623968583
"recovering","early","early",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-3.49821714119433
"recovering","early","early",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",2.01178375764687
"recovering","early","early",0,2,"Canopy","mnl",2015,"cc_08_mnl",-5.75143286704973
"recovering","early","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",1.54008748993364
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.37646810647329
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.647205395411991
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.97964039530669
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.40827729858388
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.39628605217557
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.65125815692764
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.44373121782
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.726986693604391
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.37856662336046
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.938319276683797
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.1388404292286
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.66464876984874
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-2.45758842988053
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",1.05829029832409
